Date,Weekly U.S. Ending Stocks of Finished Motor Gasoline  (Thousand Barrels),U.S. Gasoline Demand (Thousand Barrels per Day),Weekly U.S. Imports of Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. All Grades All Formulations Retail Gasoline Prices  (Dollars per Gallon),Weekly U.S. Product Supplied of Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. Refiner and Blender Net Production of Finished Motor Gasoline  (Thousand Barrels per Day),Weekly U.S. Exports of Finished Motor Gasoline  (Thousand Barrels per Day),Motor Gasoline Consumed by the Transportation Sector(T/ B per Day),Motor Gasoline Consumed by the Commercial Sector(T/ B per Day),Motor Gasoline Consumed by the Industrial Sector(T/ B per Day)
1993-07-01,177380,7788,0,1.068666667,7788.333333,7430,0,7671.121999999999,16.073,97.48100000000001
1993-08-01,169446,7857,0,1.0615,7857.5,7288,0,7749.085999999999,16.236,98.471
1993-09-01,167090,7559,0,1.0495,7559.5,7528,0,7496.345,15.706,95.26
1993-10-01,171262,7553,0,1.0902,7553.6,7416,0,7274.525,15.242,92.441
1993-11-01,174098,7507,0,1.062,7507.25,7652,0,7422.855,15.552,94.32600000000001
1993-12-01,183614,7729,0,1.0190000000000001,7729.333333,7752,0,7549.658,15.818,95.93700000000001
1994-01-01,190179,6931,167,1.0,6931.5,7119,0,6875.3769999999995,12.130999999999998,92.569
1994-02-01,189954,7201,274,1.0090000000000001,7201.25,6836,0,7165.776,12.644,96.479
1994-03-01,182302,7375,360,1.00775,7375.5,6779,0,7284.018,12.852,98.071
1994-04-01,175210,7460,368,1.0345,7460.25,7175,0,7450.132,13.145,100.30799999999999
1994-05-01,181632,7585,416,1.04925,7585.5,7344,0,7529.743,13.286,101.38
1994-06-01,180006,7697,369,1.078,7697.5,7449,0,7803.297,13.769,105.06299999999999
1994-07-01,175649,7720,357,1.1106,7720.4,7240,0,7766.205,13.703,104.56299999999999
1994-08-01,170996,7852,506,1.161,7852.75,7307,0,7854.925,13.86,105.758
1994-09-01,170058,7622,332,1.139,7622.6,7372,0,7501.168000000001,13.235,100.995
1994-10-01,166454,7856,268,1.112,7856.0,7293,0,7434.647,13.118,100.09899999999999
1994-11-01,164586,7542,312,1.11875,7542.25,7621,0,7352.164000000001,12.972999999999999,98.98899999999999
1994-12-01,171249,7950,240,1.1288,7950.2,7837,0,7804.684,13.770999999999999,105.081
1995-01-01,175936,7256,206,1.129666667,7256.666667,7388,0,7057.753000000001,8.753,96.68799999999999
1995-02-01,178929,7366,179,1.12025,7366.75,7286,0,7370.635,9.141,100.97399999999999
1995-03-01,176233,7713,278,1.1214,7713.6,7311,0,7672.885,9.516,105.115
1995-04-01,166847,7825,284,1.175666667,7825.0,7481,0,7538.706999999999,9.35,103.277
1995-05-01,168008,7892,358,1.2329999999999999,7892.75,7757,0,7777.547,9.646,106.54899999999999
1995-06-01,167179,8242,328,1.2352,8242.6,7863,0,8099.331,10.045,110.95700000000001
1995-07-01,166599,8139,356,1.1955,8139.5,7867,0,7771.445,9.638,106.465
1995-08-01,159270,8161,222,1.17,8161.75,7645,0,8066.616,10.005,110.509
1995-09-01,155680,7846,261,1.1564,7846.0,7849,0,7671.391,9.514,105.094
1995-10-01,157586,7950,327,1.12925,7950.0,7548,0,7666.338000000001,9.508,105.025
1995-11-01,152895,7982,267,1.109,7982.333333,7628,0,7750.05,9.612,106.17200000000001
1995-12-01,156520,7605,251,1.1198,7605.4,7714,0,7627.658,9.46,104.495
1996-01-01,164181,7453,361,1.13875,7453.25,7406,0,7161.599,12.809000000000001,96.49600000000001
1996-02-01,168075,7681,381,1.1355,7681.75,7375,0,7484.967,13.387,100.853
1996-03-01,164377,7688,380,1.1909999999999998,7688.0,7238,0,7674.735,13.725999999999999,103.41
1996-04-01,159877,7649,428,1.2885,7649.0,7409,0,7754.71,13.869000000000002,104.488
1996-05-01,162585,7857,377,1.3219999999999998,7857.4,7660,0,7949.604,14.218,107.11399999999999
1996-06-01,163091,8105,399,1.29425,8105.5,7725,0,7966.445,14.248,107.34
1996-07-01,160081,8050,267,1.271,8050.5,7781,0,8042.54,14.384,108.366
1996-08-01,156833,8110,343,1.249,8110.4,7750,0,8217.896,14.698,110.729
1996-09-01,155089,7749,346,1.24825,7749.75,7668,0,7547.045999999999,13.498,101.689
1996-10-01,153445,7880,241,1.249,7880.25,7470,0,7971.781999999999,14.258,107.412
1996-11-01,151067,7860,234,1.27775,7860.5,7734,0,7795.651,13.943,105.039
1996-12-01,154142,7963,288,1.2805,7963.0,7827,0,7677.308000000001,13.731,103.445
1997-01-01,159616,7272,284,1.2824,7272.0,7376,0,7179.437,20.453,101.4
1997-02-01,161521,7583,264,1.271,7583.25,7248,0,7539.57,21.479,106.48700000000001
1997-03-01,154753,7690,338,1.24875,7690.75,7232,0,7665.732,21.838,108.26799999999999
1997-04-01,149561,7935,357,1.24425,7935.5,7626,0,7929.221,22.589000000000002,111.99
1997-05-01,152835,8096,371,1.2472,8096.8,7979,0,8003.135,22.799,113.03399999999999
1997-06-01,160437,8097,341,1.23775,8097.5,8069,0,8149.549,23.215999999999998,115.102
1997-07-01,156827,8572,315,1.21975,8572.5,8059,0,8353.733,23.798000000000002,117.986
1997-08-01,147881,8339,265,1.2716,8339.8,7980,0,8095.724,23.063000000000002,114.34200000000001
1997-09-01,151594,8038,259,1.27325,8038.5,8153,0,7888.643,22.473000000000003,111.417
1997-10-01,156249,8202,321,1.2378,8202.2,8028,0,8005.101,22.805,113.06200000000001
1997-11-01,157131,7859,240,1.20975,7859.75,7846,0,7831.71,22.311,110.613
1997-12-01,159332,8186,257,1.172,8186.0,8150,0,7930.401,22.592,112.007
1998-01-01,170439,7778,303,1.1274,7778.8,7850,0,7501.879,18.906,96.764
1998-02-01,171249,7885,272,1.08775,7885.25,7697,0,7593.911,19.137999999999998,97.95100000000001
1998-03-01,165679,7899,263,1.061,7899.0,7535,0,7881.986,19.864,101.667
1998-04-01,162099,8361,354,1.07675,8361.0,8038,0,8185.785,20.629,105.585
1998-05-01,166590,8151,315,1.105,8151.8,8101,0,8153.318,20.548000000000002,105.166
1998-06-01,173217,8304,324,1.10225,8304.75,8289,0,8391.021,21.147,108.23200000000001
1998-07-01,172280,8572,247,1.0902,8572.0,8286,0,8548.546999999999,21.544,110.264
1998-08-01,165422,8548,352,1.062,8548.25,8181,0,8438.375,21.266,108.84299999999999
1998-09-01,162523,8416,300,1.0485,8416.75,8128,0,8183.98,20.625,105.56200000000001
1998-10-01,158927,8272,329,1.057,8272.6,7919,0,8250.974,20.794,106.426
1998-11-01,160934,8095,236,1.038333333,8095.666667,8207,0,8042.691999999999,20.269000000000002,103.73899999999999
1998-12-01,165008,8354,304,0.989666667,8354.666667,8325,0,8322.294,20.973000000000003,107.346
1999-01-01,176193,7811,293,0.97875,7811.75,7976,0,7614.795999999999,13.648,72.847
1999-02-01,178434,8138,371,0.958,8138.0,7876,0,7940.802,14.232000000000001,75.96600000000001
1999-03-01,171457,8357,329,1.03925,8357.0,7763,0,8036.361999999999,14.402999999999999,76.88
1999-04-01,168389,8130,413,1.1718,8130.2,7937,0,8410.006,15.073,80.454
1999-05-01,173754,8374,364,1.16925,8374.0,8283,0,8325.051,14.921,79.641
1999-06-01,175766,8646,458,1.1540000000000001,8646.75,8257,0,8786.167,15.747,84.053
